prediction,ground_truth
102.074,107.769
132.081,150.743
124.801,104.269
44.335,59.157
84.782,95.183
32.609,36.531
97.289,94.807
112.186,102.308
77.369,79.42
69.948,78.906
61.812,70.054
59.383,48.361
97.189,99.88
127.647,80.441
105.449,97.19
57.645,18.716
84.036,73.76
69.979,81.025
164.283,178.649
83.045,65.748
95.702,130.409
63.457,73.237
95.673,87.438
39.966,74.576
47.409,55.873
70.564,58.746
103.918,104.882
32.989,38.236
92.366,92.717
56.555,74.388
83.88,76.197
109.211,69.306
121.47,131.109
122.777,135.237
78.276,79.961
45.013,34.891
63.999,57.946
86.616,63.675
42.302,34.768
113.322,119.963
119.509,137.807
107.568,138.243
