prediction,ground_truth
51.165,70.785
106.335,133.083
57.966,72.01
106.715,81.02
93.14,62.897
64.324,66.121
67.689,80.055
72.622,77.728
91.765,114.519
75.881,101.191
40.088,25.981
31.13,29.05
79.25,89.11
62.522,13.215
69.435,94.185
55.29,94.794
51.312,22.462
34.743,28.956
97.78,89.451
88.196,87.335
81.994,60.097
56.721,86.263
58.089,40.985
32.171,22.165
52.958,47.676
57.76,63.614
67.594,63.245
59.639,65.31
89.014,110.582
67.624,55.879
55.962,56.222
23.151,20.289
55.239,29.574
68.876,46.14
42.996,34.11
61.022,61.79
67.902,69.496
54.891,58.125
72.834,81.364
74.314,101.839
42.914,49.325
47.491,54.855
