prediction,ground_truth,year
52.756,70.785,1980
87.992,133.083,1981
23.917,72.01,1982
72.702,81.02,1983
105.032,62.897,1984
65.762,66.121,1985
69.974,80.055,1986
79.993,77.728,1987
99.948,114.519,1988
70.979,101.191,1989
18.723,25.981,1990
60.981,29.05,1991
73.566,89.11,1992
72.374,13.215,1993
69.31,94.185,1994
46.841,94.794,1995
49.86,22.462,1996
47.371,28.956,1997
71.271,89.451,1998
86.569,87.335,1999
80.156,60.097,2000
56.974,86.263,2001
61.966,40.985,2002
35.396,22.165,2003
72.082,47.676,2004
57.017,63.614,2005
65.931,63.245,2006
68.051,65.31,2007
71.965,110.582,2008
70.29,55.879,2009
56.494,56.222,2010
29.179,20.289,2011
58.596,29.574,2012
74.832,46.14,2013
48.369,34.11,2014
73.576,61.79,2015
85.332,69.496,2016
54.024,58.125,2017
89.161,81.364,2018
69.044,101.839,2019
44.354,49.325,2020
54.118,54.855,2021
