,1,2,3,4,5,6,7,8,9,10,11,12
MER,1177.0702601543785,766.9865498869125,899.0969161538325,808.9226550717493,828.7875628792744,995.3085433990404,1661.1249779084776,1709.336306984625,1528.389786325503,1354.1352914280847,788.6934155304365,1015.4188575422403
MSSHF,950.0487853876343,883.7747058548467,838.2174797466394,846.948104243191,866.8667842783647,909.5210644028632,1601.9926080348293,1693.6982531817882,1400.2512402613431,1433.0621723361464,756.5688180073288,866.1161023136962
RH,1047.5199239834494,874.2808090959985,940.4913083470908,865.6610256132127,915.5722334811841,957.7642335959381,1707.2335197728198,1479.78119219412,1501.7740620168431,1269.6875761732647,741.7906322433743,1009.3248325143302
SD,1068.9598302648624,1065.2996108455989,886.7411575307507,1174.5445688329994,909.0614389928021,48116.390990051674,1561.9625711853248,1617.4440055107323,1342.343568121929,1226.5244187819599,834.8930315856984,967.9883770274997
SH,897.977996731784,807.815327085006,883.8292218476553,880.2923130797416,826.6390671298899,929.0350558433687,1531.6383385157603,1735.9476204524685,1565.1180636513946,1174.5861418343975,777.6335967609087,764.5947236823738
t2m,988.23803695224,920.0924869581381,852.1739045301852,851.866448816381,837.7143034260405,993.6682051545101,1731.4267547028805,1724.9048643274898,1669.5916865619258,1373.8450210153462,764.2441116731969,773.8664304074113
TCC,1105.5196711992826,867.6901492285803,948.3455260584482,889.4010890707598,910.5687892981408,911.8302381289957,1523.8901541852526,1648.5148217526328,1499.5881465674338,1239.9029375158366,728.4537371739119,1013.3483421547595
TCWV,936.9899852175135,887.823006343706,891.8849441881105,878.2876036422606,833.813062609985,889.6666452120286,1740.6878394100443,1763.6667538340962,1413.574769635592,1375.268763963598,780.9319691196027,738.2279650459359
tp,960.2008040007737,894.5105196316241,843.0187196175599,852.47150391368,843.7405048839302,929.7769112714419,1703.4508628878195,1327.2202479495406,1424.649075194066,1260.5241076971527,722.8802865886711,1043.1880006309884
UW,939.088908314303,885.7252303451513,845.5804358842108,864.4626737125294,887.7136303890577,898.0782065881963,1571.9245212012877,1748.4739154131962,1422.9971061626645,1155.3446849222998,790.6131153267798,1108.9040376168853
VW,951.5640777474549,942.2893798869012,876.7000519251594,887.3901008325456,899.9531025694525,969.1875006703591,1616.5426566279598,1705.4948457507246,1577.3254636145045,1307.390022739852,829.5462474401926,997.5638117175955
MER-MSSHF,1372.2583465992113,1499.6290185635728,2225.9678462625975,1189.3107954649354,1235.594918507069,3236.9185956376696,2351.2304012842296,2309.8897113691164,1695.9470747753603,1823.850048803733,1212.3469189761447,992.3355792497324
MER-RH,1162.2882914111035,1486.5498129808643,1625.763317730608,2079.5290832463643,1307.4307274262003,1620.6968389203196,2108.563372653619,2678.9843363113214,1850.3267760376496,2209.868950665597,1829.9950199185419,1302.6138347439685
MER-SD,2242.409835209707,3848.1775046974176,1812.0260567764985,8215.202142882927,1102.6693879755614,43026.97744109363,1665.2013581203948,1709.3363160880974,1528.3898319223244,1359.4152735758692,1539.435702967505,4440.946762696704
MER-SH,1106.6238168064099,996.9394455474988,1026.1477944456124,1605.665055113364,999.5576283343069,1746.0078486503578,18149.034929199453,1860.9562621639832,2323.3366949937686,1944.1054687103353,807.4685479209875,969.6794681747446
MER-t2m,1127.760705146261,1000.1584177805174,1262.7000252822606,1752.0374825549634,992.9101499188374,1702.0045113704455,3459.5457435550766,2308.2128766009464,2320.6745530308244,1574.9083285305624,1029.1580058111094,1229.7126710837163
MER-TCC,1360.0308957786885,923.4956017842117,1530.8848507156295,1256.946864119269,1123.959001651028,1368.4979177605092,2584.4701405046994,2252.875858126657,1787.2371951580851,1973.1415646780792,972.2673664091552,2448.1089042779195
MER-TCWV,1198.9550091371789,1258.178514739632,1033.741599575347,1423.8457324741582,1099.5151419770086,1388.252907078735,3148.6471426097837,3014.9693398601335,3048.210603022473,1520.9522399771915,875.8161147770505,852.1498856827271
MER-tp,1874.605685804753,1056.547727124009,1644.7888138446983,1048.3981152752197,1167.0775742218666,1471.3046605131567,3836.46620190019,4777.435897747737,1846.3916115850436,2564.716210528618,1006.1915884560082,1302.6540254943745
MER-UW,1132.1302150109648,3971.6824657760258,1060.031684388982,1138.223549957386,1471.2124299560473,1047.0084046182335,2708.1628656985667,2325.489338715678,1857.8750695379024,1619.7431836962905,1974.9706189654103,1798.4460964371644
MER-VW,1479.897425271212,1059.6095894970738,996.0870550385249,1170.9004593663788,1509.1614111623426,1233.3486476608964,2454.237218024404,2381.6338181209567,1857.960207087314,2229.52532537714,1102.1332924482322,1534.264718570892
MSSHF-RH,1274.6595654270586,911.9478976076696,1960.5985324000292,2007.9674915120856,1211.6998922266944,1137.4882535167587,2700.088907214178,2083.0300615496876,3161.366933471359,2015.375532145981,817.6765897685009,990.4875291425238
MSSHF-SD,1130.605467455741,1474.6731902596637,7948.966846842059,4900.45454611045,8709.72081517496,11495.382804989353,1601.9925868306639,1693.6982693015384,1400.25173799335,1433.0621724027842,17529.162164760004,1207.7028836023849
