,1,2,3,4,5,6,7,8,9,10,11,12
MER,1177.0702480579664,766.9865334730988,899.0969228968553,808.9226507272102,831.2760148976156,995.308544561027,1665.200711939509,1709.3363069923892,1528.3898509958656,1359.4152858579357,788.6934137098608,1015.991006117171
MSSHF,950.0487830214006,882.8545558261474,838.2174830416561,846.9481050895149,866.866794336733,909.5210734646744,1601.9922098071752,1693.698265740257,1404.0667649139473,1433.0622001687373,756.3173432264767,868.1299042128643
RH,1047.5199175790394,874.2808037154338,940.4913086221036,864.7367045132398,915.5730185463644,957.764236828859,1707.2330827811647,1479.7811906665802,1502.1775150583662,1269.687563711282,741.7906204767546,1009.32483088728
SD,1068.959857106872,1065.299210966839,891.0495885778929,1170.617574432791,909.0614271911129,48115.22835396048,1561.9625711853244,1617.444005510732,1342.343568121929,1226.52441878196,834.8974908332149,967.9888146777173
SH,897.978606969511,807.8152164481578,883.8292108832426,880.2923240850591,821.2626244497511,929.0350685280507,1531.6384890456222,1735.947631271029,1565.1179733771892,1174.5861018051269,777.6335874611839,764.5947129973038
t2m,988.2380472578627,920.0924858108681,852.1739046760731,851.8664461117012,837.714302378932,993.6681967772985,1723.7710767303863,1718.9989908010382,1669.5916917537634,1373.8450203575612,764.2441100347979,777.7582989156092
TCC,1105.5196314793336,867.6901408142165,948.3455128502336,889.2055402530104,910.5687848400706,911.8302254251149,1523.8901877605492,1648.5148235137788,1499.588127739888,1239.9029416772605,728.4536877376697,1013.3483307683512
TCWV,936.9900719185432,888.1512453583221,891.170465727558,875.0777763318202,833.8130636429544,889.676284873205,1740.6878369053168,1763.6667684056888,1413.5746939343862,1375.2687627594667,780.9283071922807,738.2279616594747
tp,967.0837692739025,894.2160935140604,843.0096827101194,852.4715000754992,843.7405064326327,929.7769119255348,1703.450857621883,1325.1771897350152,1424.6426610192898,1260.524064725015,714.9718846467345,1043.1879994911922
UW,939.088894149307,885.7252341335493,845.580461903281,860.2512058647458,887.7136263087284,898.0782005705431,1571.9245291999264,1748.474630714091,1422.9970349879043,1155.344680769181,790.6130906912143,1108.9040401366035
VW,957.5569206904736,942.2893947116066,876.7004324288973,887.3901155220016,899.9531039407501,969.1874991903434,1616.5426608323428,1705.49487664307,1577.325472464797,1307.390015678753,829.5457180114669,997.5638184299016
MER-MSSHF,1287.3536784734079,999.4959147634042,906.283144256714,969.5121968450668,850.3244094936767,9509.854297251983,2421.5555405312734,2101.6942421130448,1709.2580870549725,1675.0676410348333,1119.8304236011575,1217.1080839618792
MER-RH,1452.1338147552156,1013.057059901621,1507.5301064487594,1110.8679098381472,1167.8445114808828,1456.4736513464125,2271.1097068065355,1848.5185673068931,1703.9284682953564,1813.8060249080881,863.3429933956583,1157.4528212135376
MER-SD,1223.0809697237412,1184.7857871367019,1390.2306945959383,2677.6361437858704,1349.3353716618433,64884.563548263264,1665.2013579461723,1709.3363131439366,1528.3898412879232,1359.4152884640869,1026.1991698951508,4194.818114634857
MER-SH,1761.4018508497738,1009.9367545627643,951.463822371663,1939.2644769402143,1130.8924726682346,1410.9970772242743,1983.4133358139113,1966.9482855549525,2060.0481200161635,1530.9539511635196,757.945425475242,1014.6738316570875
MER-t2m,1268.8959305889516,1037.5695303050566,1192.6436918903112,1887.0848005734304,1139.9662235898102,2020.8055304045624,2196.7867809121626,2216.241843672964,2265.8068415472394,2182.113717557093,919.6773603442502,1080.8814482189118
MER-TCC,1436.4135750862215,916.7108536213588,1239.7660099724767,1282.7514123006517,1551.5339516819552,1241.2366678476913,2065.7514321095264,2395.243734662654,2170.3671905904766,3135.331765346859,840.6935203709677,1525.6619454208285
MER-TCWV,1070.8355286545545,1696.78076032172,1372.2604070036282,1600.919000563164,2051.3404633045493,7848.641899381384,3682.270089004728,2882.655386433099,2105.0400561560386,1693.7923285530846,1013.7480496447587,944.749798126952
MER-tp,1057.5790192711918,1133.925272929478,1420.0971966449458,1002.3748998029038,14552.013916097148,1282.7024588099628,2621.108081198636,1989.888406244141,1746.7495036050504,1706.5112879172195,912.3762472824199,1332.5955246515805
MER-UW,1585.7445255843386,2214.367120758161,1061.7623906852682,1766.8156238968686,1114.9491584190378,1120.7432955997265,2405.8440647133907,1991.7127042018453,1881.5968256135839,1570.1030858454328,8210.821363868212,1397.5929384664626
MER-VW,1276.1194448825672,933.5107484087524,1232.2137727038853,1149.7670864958561,1123.3340271691109,1454.048636275138,2229.2725057051566,2220.1565764616826,2263.271872616832,1968.7803153387172,1082.7677064355094,1309.479928286692
MSSHF-RH,1164.2773947728751,1011.4379468370227,1103.0226727057252,1198.0272807803926,1213.893748245628,1069.9828940893087,2077.6032113593074,1734.5418745294294,3604.7108818257534,1690.2288799409307,1036.257943833795,1160.5032218061538
MSSHF-SD,4651.42014571999,47553.69528420512,1579.9229044277765,1656.1859229599472,1678.7548553202491,110422.7624287221,1601.9933373107474,1693.698265484013,1400.2517288023062,1433.0621950508435,6797.394000891229,1159.84943107352
MSSHF-SH,1783.3125153327446,1145.7206144274267,1079.983476197441,835.1731140253008,1322.4435150450092,1286.5986753766203,2737.3905137245783,2105.8356415667413,1833.3079575162938,1752.4589859726436,786.3205982645379,1180.2167717789703
MSSHF-t2m,1807.2056723582614,873.0549406039331,1254.5770954684758,1235.1650167781825,1079.5626618252122,1597.5627272729294,2022.361781667561,2896.653135183105,2751.3997728716213,2913.2705133410054,999.3904910218894,1031.8556324393353
MSSHF-TCC,1275.6833197671792,1053.0474681867531,1437.1946134763052,1151.919056997666,1064.516609439795,1088.5999448722428,2640.4964475820298,2544.293328696068,2490.5591399386285,1873.165694048112,1216.6444065143464,1093.3862558262933
MSSHF-TCWV,1441.706802771521,3542.7454051666227,1018.1015959518551,1081.6275682904368,12948.825150595632,1060.736423554266,1679.9760401411436,1970.1748802645657,2081.9558524155996,1583.651421488547,1479.6384927317251,764.027619892528
MSSHF-tp,1475.0147271209999,1012.0219116165832,1158.741597443189,1500.4946835421817,1110.7848902554204,1333.8978709435075,1903.2601591517498,2778.5550688177004,55125.745830031025,1829.227452811717,1076.4020042773273,1044.9379841294367
MSSHF-UW,1507.9170383014166,3245.0548481389005,1192.780008305622,1242.783616149844,1692.8200375908518,1051.6887801515309,2382.955884936703,2780.2093974810186,1564.5085559478405,2192.001594572256,923.5330681425482,854.5974557963401
MSSHF-VW,938.2758181582312,1431.608229642575,1079.3045916819078,1027.991213060947,1181.5313074759192,981.4263208554721,1968.4840650906224,1878.4109306059809,1948.5215006169337,1852.4879198049869,979.226485256266,1249.7802141271306
RH-SD,3831.897291199759,1502.3337292302126,1916.5016398362773,980.000934305023,2491.1236865079413,2663.2336791135176,1707.2335370037636,1479.7811980196805,1501.7740669496711,1269.68756498498,5348.176000072162,3777.2847215353777
RH-SH,1177.3560863254295,1097.1365579098792,1455.2236227654462,1734.7697742280004,1062.9315813242106,1822.3197723253793,2761.2951718125605,2051.892540283779,1911.388311815551,1945.760184142853,968.8298059998409,1082.3535662281813
RH-t2m,1844.652633169107,1074.9670496563747,2339.9200672225993,1582.8453977073698,1044.6119038846216,1234.0609939910862,2532.7131093971147,2480.972237859818,1445.7678607015264,1623.4372714970518,1078.2617884856506,924.5463287220437
RH-TCC,21134.37488885491,1179.2808259788485,1372.3925821137357,1323.1093517665554,3873.9558362528373,1058.2930667795142,1898.691069344691,5265.647481988049,2127.859229881521,1908.8621593132623,1138.357713851894,1600.799633574179
RH-TCWV,2404.4471032800216,1435.4978588314787,955.9391376471174,1032.44376443272,921.3687644185861,1023.1130162402134,2205.391750958509,2573.5425560171907,2112.7426474467597,2237.772505281866,1324.5453319671494,869.19023722842
RH-tp,1227.7332634442685,1464.9577855561765,1302.5468081695008,1162.1378377043777,1122.9102294959823,1219.4161633388794,2567.332743178344,2167.2599162816064,1955.7511508241162,1392.2083505074297,1433.6422197218221,1252.2596122446716
RH-UW,1041.965349326326,1406.572152467907,1359.0903954154023,1158.7162459406277,1233.5941955633004,1666.9237118252065,2685.168224097949,79378.70747261003,1556.3337309481226,2043.6356196175718,1170.2674421175007,1245.1558201954456
RH-VW,1262.954781148132,1011.5025130886918,1321.7191126348753,1235.0359685068022,1673.5810787628625,1219.1225800732884,2382.189765279866,1583.0755469416533,3471.0336030631893,1748.9601623890999,961.5662830825498,3414.68488732328
SD-SH,3737.2630384469862,1431.850159243259,1810.5701699237873,1323.2401768506859,2003.2012174314955,137439.14885133383,1543.113473040217,1735.947643049738,1565.1181162040562,1174.5861434799754,48520.51983316548,1482.4740472433161
SD-t2m,1831.7421463416083,42041.63354846462,2548.843969729507,13338.453706572684,1232.7152867461043,452928.9997437361,1731.4267319630128,1724.904876026006,1669.5916957451336,1373.8450656721463,8789.337590118173,1038.7562852997962
SD-TCC,1293.9098942087405,1837.3217334187134,1349.5812075912436,3626.792151716099,1153.1918933594382,11123.386074687282,1523.8902448533067,1648.5148162681792,1499.5881476892096,1239.902832227537,19849.559249856502,1301.4343385362276
SD-TCWV,2339.939779882127,1251.8997441220472,2198.2960992566223,1148.1767614315318,3289.9668608568027,506058.02103508275,1740.6878388080531,1761.6687104091518,1413.5747645506538,1375.2686466044754,855.1865353722618,801.7545389316908
SD-tp,1161.9646682400612,1916.2804372191572,1083.9779131278785,1938.3218606097619,6607.172918080595,17064.07758964453,1703.4508638962434,1327.2202710268439,1424.642651949885,1260.524098342042,28691.13251514483,1094.888249040262
SD-UW,2321.4213658630683,1210.9797658584462,6623.157339064589,1863.1784475481802,17735.993046005824,2274.8160337219133,1571.9245051204773,1748.6028783019651,1422.9971002637976,1155.3447155822412,1035.3777805008601,1140.1797205374673
SD-VW,1246.269124370632,1333.3482356598552,267742.80821789365,2832.8313028693406,1306.1014128740767,106181.00444278223,1616.5426611188693,1705.4948797149666,1577.3254481870467,1307.394796996874,159630.13694462512,1646.895277939359
SH-t2m,843.8213835085995,1337.2967480280195,1147.8244612708058,955.7941279168672,1215.1425648324941,1744.6614921161756,1540.9166556232926,2077.8063682551638,2751.2526288772997,1890.9684695587919,1063.0775468022857,991.1182276889023
SH-TCC,1235.344932919763,1262.3479870043882,1152.4964699685352,1589.558635968277,1099.9253814179453,1387.2623209981361,2228.346860843743,1762.3245936962505,2048.746114722306,1754.5817747931314,903.5575725342777,1066.3810091534187
SH-TCWV,859.1634694081717,1369.69175683811,1241.2072451922725,3965.771006276353,1318.6270679027741,2447.5969805406125,2428.7296851168658,1889.809508422497,1554.204193693304,1354.804851509702,1496.498514288665,873.1670528602583
SH-tp,1174.0827631085122,1171.7831816832988,1068.2880836501402,1207.5877069388878,901.9549370958375,1277.4594435007982,2175.2229879005995,1231.582470181215,1696.2261634769893,1460.5912816068364,7741.813431150531,859.0796093885792
SH-UW,1547.0461737062428,974.4006506828783,2455.7782780410575,1173.8794713227335,1055.9784237350202,1116.820149984678,1705.3232929809872,2341.337631099067,2008.4022167205137,1523.640626783782,947.8543786725307,778.7348242503166
