,pc1
0,2.7385849310389636
1,-7.928882329959616
2,-14.059990790491776
3,-20.039123983133376
4,10.284778896472199
5,30.966957818927952
6,12.182121653183128
7,18.868864913528743
8,-15.814479865824259
9,-25.34813684228818
10,18.887016580942582
11,6.802756269010583
12,-32.74019035417909
13,15.54417283532461
14,-8.027335937640217
15,-9.900671332064665
16,23.939371296167966
17,-8.99032688270552
18,-19.160653139074412
19,27.874285357484418
20,-6.0801593190180405
21,9.289562979855967
22,11.717486823149708
23,-4.197752802536441
24,11.302155925931427
25,-7.236847922983581
26,-0.4406819727900337
27,-24.484253434068375
28,7.0912589832189745
29,-7.210783438017699
30,-21.081660620889945
31,1.6209700810056553
32,-3.838349338661733
33,-1.434077603039268
34,2.9446980410683365
35,17.466524001655163
36,-11.363874346779928
37,11.510534547745053
38,5.656208749085443
39,0.9240439171731569
40,5.96074613698026
41,-4.1962805550877
