,years,data,hindcast
0,1980,87.79,67.78256351807734
1,1981,69.787,68.88794708457186
2,1982,93.726,96.57119248688785
3,1984,54.762,49.76743022520749
4,1985,126.504,99.73344445250393
5,1987,96.289,66.04642008272519
6,1990,81.754,94.31561788633942
7,1991,100.819,91.56967831211038
8,1993,49.037,66.33635576770136
9,1995,64.76,73.8319258282473
10,1996,28.135,47.35405529220897
11,1997,112.482,85.13481251238015
12,1999,86.734,82.22975620356574
13,2000,55.016,68.56436367328847
14,2004,70.647,99.73390263026553
15,2007,100.404,114.86357581787385
16,2009,75.436,102.69584416647011
17,2010,33.738,57.34982352845996
18,2011,94.747,78.55618256904653
19,2012,122.004,93.20821011971493
20,2019,106.981,107.01889784235401
21,1983,40.005,88.49279314844628
22,1986,56.932,37.386362839831875
23,1988,31.234,54.95389711554729
24,1989,67.167,52.73325324314831
25,1992,52.1,52.564468088156076
26,1994,51.526,54.66207199160202
27,1998,136.999,114.73795551015013
28,2001,56.749,56.41804185669069
29,2002,77.791,39.78029052453752
30,2003,47.241,51.782902247337184
31,2005,55.748,65.11368245332248
32,2006,34.652,55.19113833835813
33,2008,40.784,59.83577846619079
34,2013,63.597,62.22440587455132
35,2014,53.205,51.74878365801867
36,2015,35.568,54.031150007338766
37,2016,113.147,84.58886810889423
38,2017,63.719,66.31589856484486
39,2018,26.89,38.9302704431595
40,2020,67.278,71.10898837077494
41,2021,106.484,66.21499914909897
