,pc1
0,-1.6100048975102863
1,6.140863263442525
2,-3.764170696282234
3,1.9977216128388655
4,2.3382557824970966
5,-1.4106218735594744
6,4.168733007787811
7,7.060822753561414
8,-4.993586250277317
9,-3.2394958659793467
10,0.2805179593911535
11,1.7952018663035407
12,-1.3984349232513194
13,-3.478256297391382
14,-3.895376959771887
15,-3.863851682821696
16,3.9495812138656405
17,-1.249248198106739
18,3.707861804809016
19,-5.46140521110652
20,2.9248936762534488
21,2.686920649422742
22,0.8971890839804643
23,-0.32499560900978053
24,5.231885931512533
25,-1.261014986641853
26,1.1308917238840797
27,-1.4675038275929524
28,6.815994752030801
29,-13.649176756843536
30,-3.064690722545016
31,1.8192112508436653
32,-0.981520055982066
33,3.8249009651841384
34,-2.2841332490944217
35,-0.46005505368626104
36,-0.5874027881439688
37,3.1280591512223714
38,3.052373645816786
39,-7.115596913879786
40,2.6921919515481703
41,-0.08352896590896013
