,years,data,hindcast
0,1981,42.983,40.4009213901625
1,1984,61.249,49.51611097214924
2,1985,9.737,32.71202331765005
3,1986,5.396,27.014158406770722
4,1989,59.844,48.3966319883782
5,1990,96.374,45.687708788988076
6,1991,29.076,39.3853707475367
7,1992,32.844,25.783618637081094
8,1994,36.5,29.0621754120211
9,1996,60.069,67.93546892114655
10,1997,84.606,56.89761131648645
11,2000,98.677,67.3140092856504
12,2004,64.951,67.09307905121693
13,2005,50.053,66.60808793026727
14,2006,57.903,62.664381880368154
15,2008,39.917,54.12920069177711
16,2009,62.017,57.42156671663236
17,2011,54.225,68.50415980686753
18,2012,25.182,48.1250603402976
19,2017,67.993,73.2315963096525
20,2021,60.752,72.46505808889926
21,1980,60.543,32.72950434245244
22,1982,18.836,35.417230680911075
23,1983,42.887,24.987783499126003
24,1987,35.931,32.999644828473265
25,1988,87.706,60.056446285539074
26,1993,24.723,38.889208713761676
27,1995,78.175,58.616830564051924
28,1998,20.72,47.617065659603114
29,1999,56.135,69.57772998514787
30,2001,83.66,76.20180062959585
31,2002,111.308,79.9771234905648
32,2003,23.337,34.81151656208488
33,2007,88.808,91.90431857909847
34,2010,91.629,69.09549569093645
35,2013,42.502,81.94723130840768
36,2014,81.808,65.05958838299115
37,2015,54.846,56.59443584633765
38,2016,72.694,86.98931172610888
39,2018,28.985,55.68820920368704
40,2019,53.845,71.14581841316186
41,2020,131.383,120.15470560795868
