,pc1
0,-3.6875769207749327
1,-56.69261040984803
2,-100.17978367614326
3,-463.47840645736335
4,230.13068478576295
5,91.60301913455534
6,-159.2323592108599
7,161.90608460327724
8,389.72852548494694
9,-417.81902363681786
10,-113.61554640347036
11,-886.1382559175479
12,400.2396998247373
13,280.3311625836251
14,280.7281439893557
15,-420.6424712998679
16,-303.4330962856562
17,323.30414670197433
18,-21.997523991475596
19,330.2524541284628
20,458.6985067749692
21,-1006.0959563361074
22,645.4207902629457
23,-467.34212763169785
24,-367.2422750635513
25,-168.07589415459876
26,440.42379843526123
27,274.46334058985883
28,322.37805549228295
29,-57.29152733593527
30,275.09779697449335
31,-125.14702769296476
32,-476.13574887869737
33,-265.4788777253908
34,301.79675495238655
35,-59.71683545260942
36,-135.83383534256475
37,409.1556165368291
38,-65.92211502209464
39,651.7788391456331
40,496.65014429953294
41,-622.8833109327777
