,years,data,hindcast
0,1980,67.597,76.18193580278763
1,1982,88.868,53.48087846382735
2,1983,31.294,50.95453176920359
3,1984,27.303,27.49624909892036
4,1985,104.175,60.68476876191957
5,1986,85.939,96.88365423595872
6,1987,87.189,80.57272128977904
7,1989,58.181,70.88740866785736
8,1990,43.995,50.08942513652572
9,1991,22.764,67.32254738319159
10,1992,128.278,70.8619694776057
11,1993,65.7,54.11254181608123
12,1995,22.497,43.554907117630094
13,1996,98.744,91.81778632313109
14,1997,54.355,66.31695511754666
15,2000,51.303,83.22876639114568
16,2004,153.639,89.61872177122746
17,2007,52.895,92.36085394736403
18,2009,46.274,55.61918323768816
19,2015,123.29,118.93169573076332
20,2019,76.337,89.63949845984553
21,1981,37.258,58.62912523922161
22,1988,72.625,50.74330909463047
23,1994,89.989,86.82649268715184
24,1998,67.593,115.57411511402984
25,1999,99.367,108.36442521082118
26,2001,107.73,96.98292937246391
27,2002,146.934,140.58871968758484
28,2003,22.521,90.25825551994255
29,2005,101.65,111.29591397569894
30,2006,192.569,115.51715755030665
31,2008,114.817,75.42222867558456
32,2010,146.264,116.71525675664228
33,2011,128.736,104.03493861786106
34,2012,90.667,95.99417186003313
35,2013,40.892,47.28081671523928
36,2014,126.343,89.30970170287507
37,2016,57.581,92.87783738041104
38,2017,75.391,91.42105663840366
39,2018,94.606,84.49481887066051
40,2020,91.375,107.42505908729436
41,2021,99.275,124.42667024314309
