,years,data,hindcast
0,1981,93.396,67.44745443609598
1,1984,127.765,81.26590229981657
2,1986,118.281,82.54737006594885
3,1989,24.55,63.363116340600335
4,1990,62.735,51.50518154013767
5,1991,65.731,40.8086465796573
6,1992,40.056,67.29375189036412
7,1993,79.516,91.39539973781885
8,1994,85.403,91.6925712366971
9,1996,16.128,44.60294933236281
10,2000,47.352,60.61024360529532
11,2002,67.263,82.60971842303803
12,2004,107.224,91.6152008298751
13,2005,53.984,85.76848085453175
14,2006,18.287,51.42895412431479
15,2008,98.91,89.31964853493376
16,2009,59.608,62.65528011857576
17,2011,71.904,35.05473867640863
18,2012,90.297,90.12762503391698
19,2018,94.423,92.31746275729643
20,2021,90.618,90.00130358231374
21,1980,58.656,78.60672137253962
22,1982,43.574,43.01231194410352
23,1983,104.552,79.37551448684027
24,1985,62.145,58.87827655378949
25,1987,40.212,76.93270316951599
26,1988,138.661,85.75023114304007
27,1995,129.885,98.17423436846963
28,1997,8.558,58.52845008112608
29,1998,88.083,83.2612036169815
30,1999,91.58,97.26715560970908
31,2001,85.522,51.3771756583358
32,2003,73.574,65.1168325532933
33,2007,116.525,103.12903407879438
34,2010,49.822,59.802836607337696
35,2013,56.091,40.70548267408599
36,2014,90.505,90.71993646709755
37,2015,107.204,82.97039416546282
38,2016,107.938,108.28783329099412
39,2017,56.353,95.2948652589173
40,2019,48.71,68.96246675345505
41,2020,60.422,92.41834014611089
