,pc1
0,-1.6077017897293744
1,1.1389682810518038
2,13.766514081350152
3,-6.599513545701035
4,3.2628989414783325
5,4.14097659665361
6,8.958977678811477
7,-31.618029724173702
8,-3.081422315566178
9,-11.038159059248356
10,7.186129367021
11,20.298739189199438
12,-14.776858335878627
13,6.015158398240571
14,-7.1052695991442185
15,-10.169483013608556
16,10.570712350837809
17,21.058476059678
18,7.671943268724122
19,-7.2715249032263705
20,-10.800639468290608
21,-11.42768866690385
22,-40.13536214934695
23,-16.3497757147609
24,29.707777559619164
25,-24.372774831349872
26,24.15722752651988
27,0.7578424659345447
28,-4.931869497379247
29,-20.479277100857814
30,3.069920976740006
31,6.858815029282886
32,5.9799116122450835
33,1.9250058938977943
34,13.613984316746125
35,11.861063894546257
36,-1.3860605191127338
37,-49.99936519734169
38,30.350378802493633
39,9.836979434753319
40,27.352646668935495
41,3.6091843611582224
