,years,data,hindcast
0,1983,63.898,41.35462432419385
1,1984,57.754,43.411337952312756
2,1988,61.158,44.08990919996866
3,1989,99.994,98.8809416595168
4,1995,40.513,54.845602818143746
5,1996,45.022,65.71697084138682
6,1998,78.078,70.94624252519625
7,1999,142.156,98.58148719647986
8,2000,86.35,62.58946417455077
9,2001,73.461,71.41992843359935
10,2005,50.89,89.48308910552214
11,2007,75.825,66.67325949995488
12,2008,32.104,76.08748842205729
13,2010,51.992,87.0388909701725
14,2011,135.773,110.80243924886418
15,2012,126.017,82.91010696051335
16,2013,74.252,103.39597732838017
17,2016,19.912,52.450869054467674
18,2017,122.767,106.89083089021167
19,2020,109.639,102.65619625508818
20,2021,69.243,86.57234313941886
21,1980,73.573,88.99308462204112
22,1981,63.801,49.77836083294233
23,1982,83.43,93.93860893581628
24,1985,100.249,94.94218961611998
25,1986,125.43,94.06716900815194
26,1987,47.004,83.5358101224923
27,1990,71.359,89.80172660217899
28,1991,44.356,53.985269943972696
29,1992,59.721,70.91786923747809
30,1993,142.547,91.93880946869243
31,1994,112.219,102.24993148378098
32,1997,77.391,79.962804970709
33,2002,93.864,108.68445354631092
34,2003,90.195,76.37258548233463
35,2004,54.078,51.01651544717208
36,2006,99.225,81.58135076926665
37,2009,98.371,94.3237962613077
38,2014,89.714,95.3959918423363
39,2015,54.183,84.33837677385804
40,2018,89.451,87.97858766140988
41,2019,84.951,81.30870737162779
