,pc1
0,-8.453444461950658
1,-2.3696453975764795
2,-10.712031380111947
3,-1.3626306349109325
4,-1.3433033745419714
5,-6.488029912633365
6,-2.0747084404050034
7,8.127137632238018
8,-0.8603958348011947
9,-0.31901593631229397
10,-6.01291187520973
11,6.362979342381097
12,-0.6805742979267122
13,5.65063373493537
14,7.272234335188049
15,6.021716159799467
16,-2.34578976575594
17,-0.08004235919094095
18,1.5780661392193105
19,4.382140517519266
20,3.707615642222891
21,2.419129759279448
22,7.877250625210307
23,6.499603486946433
24,5.775108710364514
25,-1.1374113407060031
26,-1.191509076399172
27,-4.5601360245226505
28,3.794825886800399
29,3.1757394002476373
30,5.4797758330879764
31,-2.3656430749977404
32,-4.019618004600286
33,0.4929474547817548
34,-2.995067584203967
35,-4.156309756394471
36,-3.2658492688378216
37,0.27350158524014145
38,-1.43280967137459
39,-7.628130936590579
40,-2.856491606072991
41,-0.17890657427581433
