,pc1,target,phase_label,year_glvar
0,113.51986771999132,53.242,1,1982
1,105.87795723853345,63.013,1,1985
2,101.64698957982651,49.026,1,1986
3,165.4273929725229,14.875,1,1989
4,-96.69284775820533,57.327,1,1996
5,-2.1047110288066206,63.864,1,1999
6,-39.759709965339574,97.272,1,2000
7,-54.4226953407126,47.375,1,2001
8,155.5125473429433,64.664,1,2002
9,77.06872167492594,37.014,1,2004
10,-52.76027273250525,97.35,1,2006
11,-151.23104523528755,116.553,1,2007
12,1.8997882009686529,58.692,1,2008
13,55.03516999878519,51.13,1,2009
14,104.54214131683467,34.522,1,2011
15,173.80276117101772,68.418,1,2012
16,-193.33799567602705,89.413,1,2013
17,-215.20752523772427,111.149,1,2014
18,-109.24747576685886,37.424,1,2017
19,31.21010408001185,48.213,1,2018
20,-170.7818294458308,118.604,1,2021
0,2.788472498488643,23.55,2,1980
1,73.71504154461518,102.754,2,1981
2,-548.7150757400369,118.897,2,1983
3,-186.30588004469914,106.87,2,1984
4,36.61514608302721,69.35,2,1987
5,-188.000687393762,71.891,2,1988
6,221.84802918571899,35.434,2,1990
7,80.14182991346922,35.415,2,1991
8,277.7531102709529,48.605,2,1992
9,-52.89402054105925,72.616,2,1993
10,189.91765441882342,59.619,2,1994
11,-211.8282048943479,94.81,2,1995
12,-25.16322098361898,78.281,2,1997
13,-125.52909882983099,44.951,2,1998
14,-20.990945602910074,85.303,2,2003
15,-135.66939567178954,76.444,2,2005
16,-225.20428412997813,63.402,2,2010
17,73.18563900099561,61.485,2,2015
18,146.48845964067573,61.366,2,2016
19,254.13680534347466,39.454,2,2019
20,363.7127670844492,17.802,2,2020
