,pc1
0,143.63194612299893
1,154.53025036639102
2,-299.63381588481974
3,158.36641649540044
4,17.422488286600725
5,216.82985080277453
6,171.31080947470053
7,134.96606006357604
8,-114.90851026128846
9,26.783111584913332
10,280.6406069074504
11,-638.1829147847277
12,-176.21428718154118
13,259.3423034001009
14,-410.80406156559496
15,-860.4767718109262
16,230.9602966856251
17,11.408394005388024
18,462.4286389860714
19,-6.752325431822552
20,238.3501671265171
21,-14.333231238745666
22,-357.28458224241433
23,-172.90487181515078
24,51.79879184162737
25,282.7927055625749
26,-44.28413822817563
27,308.92454464174085
28,-200.55386385228817
29,162.1860729323524
30,-141.92118907688626
31,18.99036171200515
32,-135.07074357689632
33,-188.41604948836948
34,-104.91993288201994
35,128.6964847904527
36,202.60795909490452
37,228.13858676481874
38,-3.1044920541009873
39,144.27301175209794
40,-102.24441656880676
41,-63.373017553399656
