,years,data,hindcast
0,1981,54.994,77.96970472337736
1,1984,95.445,76.9834531179127
2,1985,100.845,118.08342880965392
3,1988,151.791,76.6362958979389
4,1989,59.596,89.39114035557161
5,1996,59.759,71.34559611025533
6,1999,54.398,75.46488169693228
7,2000,102.948,78.75393168639886
8,2001,87.775,101.36655018593396
9,2004,104.082,88.54404253650418
10,2006,25.725,65.57098574439877
11,2007,166.442,148.7207265820204
12,2008,105.991,106.91447026244657
13,2010,68.74,67.4983944089654
14,2011,163.954,128.14387774133465
15,2012,133.298,168.83740423028382
16,2013,58.307,70.06684901101347
17,2017,125.55,89.93539109475043
18,2018,19.792,49.119918267501305
19,2020,73.534,91.57886133574706
20,2021,97.358,69.39809620105915
21,1980,142.421,74.70934463020257
22,1982,32.713,30.420425833536314
23,1983,22.256,54.2313191248666
24,1986,53.76,83.24966905666784
25,1987,134.54,113.08034520758855
26,1990,43.238,70.84146866569826
27,1991,86.473,116.45502472291243
28,1992,62.719,50.66071367438873
29,1993,138.492,97.50514090159314
30,1994,21.875,58.23256829563306
31,1995,45.937,79.01277104298603
32,1997,69.497,59.11723844952552
33,1998,77.728,52.22819743895
34,2002,94.124,63.0109300842459
35,2003,76.224,93.18027778205837
36,2005,109.448,102.72524465281646
37,2009,103.684,106.02228340887214
38,2014,91.657,76.1594299454587
39,2015,95.021,95.19183870963438
40,2016,56.599,63.35644767555519
41,2019,49.361,68.37632069680991
