,pc1,target,phase_label,year_glvar
0,0.5332339363489145,72.959,1,1980
1,-3.6086647366623055,79.103,1,1981
2,8.864517448352956,110.221,1,1987
3,-0.9134098918700384,43.995,1,1988
4,-2.964054535561337,114.02,1,1992
5,-7.413439452347524,62.847,1,1993
6,-9.624092270877814,50.598,1,1994
7,16.908761144870674,130.482,1,1996
8,-14.971375765613553,56.974,1,1997
9,12.845981667198911,92.019,1,1998
10,8.918083133143407,85.69,1,2001
11,-2.704026858966387,88.661,1,2002
12,4.205601119209206,56.468,1,2003
13,-10.062140094079325,66.664,1,2004
14,-6.30044786346548,66.791,1,2005
15,3.8892745075744495,79.284,1,2006
16,3.828751538574212,80.795,1,2010
17,1.7938158380526212,62.3,1,2012
18,2.0682958247076972,95.385,1,2013
19,-3.659797574519549,74.313,1,2019
20,-1.635087533108882,67.495,1,2021
0,39.73265577051486,70.765,2,1982
1,-8.38868670765679,59.341,2,1983
2,5.7634795016997025,78.441,2,1984
3,6.7910737177865546,73.801,2,1985
4,22.684612654417187,84.644,2,1986
5,-8.78547222660501,36.577,2,1989
6,-6.3322611323166145,88.055,2,1990
7,34.692123449875076,121.381,2,1991
8,-17.131574248858556,32.26,2,1995
9,-32.86014180901604,52.177,2,1999
10,11.389957042483903,131.48,2,2000
11,-25.496707816369234,63.658,2,2007
12,-27.796369102456037,87.04,2,2008
13,34.55673670432039,119.023,2,2009
14,-41.88056485190405,17.077,2,2011
15,-12.000374874457147,64.116,2,2014
16,42.91519004335874,119.425,2,2015
17,4.640636611377672,75.849,2,2016
18,-1.3809472463379608,71.566,2,2017
19,17.413682853241106,34.97,2,2018
20,-38.52527353761007,45.381,2,2020
