,years,data,hindcast
0,1980,72.959,78.89271285294438
1,1981,79.103,71.61249334143376
2,1987,110.221,93.5366183582238
3,1988,43.995,76.3499455242716
4,1992,114.02,72.74552534773397
5,1993,62.847,64.92483695270425
6,1994,50.598,61.03917024446014
7,1996,130.482,107.67599368778922
8,1997,56.974,51.640244605448416
9,1998,92.019,100.53484206642247
10,2001,85.69,93.63077081687759
11,2002,88.661,73.20257625943651
12,2003,56.468,85.34763638651638
13,2004,66.664,60.269213139949926
14,2005,66.791,66.88114340083746
15,2006,79.284,84.79162877941596
16,2010,80.795,84.6852474952283
17,2012,62.3,81.1084389440823
18,2013,95.385,81.59089269588128
19,2019,74.313,71.52261710030965
20,2021,67.495,75.08145200003281
21,1982,70.765,104.46265658025786
22,1983,59.341,66.01278261142409
23,1984,78.441,77.32063436935408
24,1985,73.801,78.14170182227406
25,1986,84.644,90.84094372952973
26,1989,36.577,65.6957433849491
27,1990,88.055,67.65590601834032
28,1991,121.381,100.43517475029132
29,1995,32.26,59.02704807512385
30,1999,52.177,46.4596214562038
31,2000,131.48,81.81629764869338
32,2007,63.658,52.34314619626116
33,2008,87.04,50.50567279947984
34,2009,119.023,100.32699814848539
35,2011,17.077,39.25213074037568
36,2014,64.116,63.12697461695272
37,2015,119.425,107.00556239689936
38,2016,75.849,76.42346140209393
39,2017,71.566,71.61210061084098
40,2018,34.97,86.62936990143626
41,2020,45.381,41.933072740733344
