,years,data,hindcast
0,1980,72.959,71.78668645957781
1,1981,79.103,69.00599386304884
2,1987,110.221,98.08871252562997
3,1988,43.995,55.13938389616399
4,1992,114.02,72.96420125285833
5,1993,62.847,78.80823084292246
6,1994,50.598,72.6823517396081
7,1998,92.019,81.875395705304
8,2001,85.69,66.94902381360147
9,2002,88.661,82.26392410011695
10,2003,56.468,76.77599807219325
11,2004,66.664,74.20595188376804
12,2006,79.284,84.84473154139354
13,2010,80.795,60.838273082120445
14,2012,62.3,80.3734878571871
15,2014,64.116,83.95066623198228
16,2015,119.425,109.92324433197798
17,2016,75.849,79.44348075432063
18,2017,71.566,72.89547198089056
19,2019,74.313,74.58159623262927
20,2021,67.495,70.99119383270484
21,1982,70.765,92.82298589366934
22,1983,59.341,92.98492930237187
23,1984,78.441,29.764764049506056
24,1985,73.801,84.4123847191532
25,1986,84.644,88.89944051800262
26,1989,36.577,71.24694737214034
27,1990,88.055,78.87598002434694
28,1991,121.381,84.14172744513284
29,1995,32.26,50.78921761799383
30,1996,130.482,96.68261703494593
31,1997,56.974,65.36577489104522
32,1999,52.177,65.22522907749533
33,2000,131.48,102.2385782394466
34,2005,66.791,60.472585504033134
35,2007,63.658,65.00033113243076
36,2008,87.04,49.61840623920716
37,2009,119.023,110.47071644410299
38,2011,17.077,53.08491660812539
39,2013,95.385,95.08503402568121
40,2018,34.97,52.50463936359568
41,2020,45.381,56.015794497573665
