,pc1,target,phase_label,year_glvar
0,134.40760002974218,72.959,1,1980
1,-118.96002881022636,79.103,1,1981
2,375.4088927377006,70.765,1,1982
3,-321.4646305577202,43.995,1,1988
4,-22.319149219921233,114.02,1,1992
5,-61.66145551799056,62.847,1,1993
6,64.72571431114801,50.598,1,1994
7,165.69327370661912,56.974,1,1997
8,395.1867369781086,88.661,1,2002
9,-467.429073898119,56.468,1,2003
10,-298.89076664470673,66.664,1,2004
11,30.622451123366517,66.791,1,2005
12,104.23161390546733,79.284,1,2006
13,393.54849783811767,119.023,1,2009
14,153.28356031965427,80.795,1,2010
15,-172.57855504825523,62.3,1,2012
16,262.92065154437114,95.385,1,2013
17,-303.15106455364884,64.116,1,2014
18,-18.3931992182026,74.313,1,2019
19,-407.5294060874157,45.381,1,2020
20,112.34911439098643,67.495,1,2021
0,189.5691400280496,59.341,2,1983
1,-84.47383005400143,78.441,2,1984
2,350.13912065539154,73.801,2,1985
3,137.29760058549965,84.644,2,1986
4,-485.7940633341697,110.221,2,1987
5,229.21644888528544,36.577,2,1989
6,-299.71281682117296,88.055,2,1990
7,-293.49410912690036,121.381,2,1991
8,358.2203888466376,32.26,2,1995
9,-104.8063676095719,130.482,2,1996
10,-297.73814037379367,92.019,2,1998
11,-183.83167072707593,52.177,2,1999
12,-413.5320475973864,131.48,2,2000
13,17.543641646636463,85.69,2,2001
14,312.99860712498923,63.658,2,2007
15,-183.51955972189853,87.04,2,2008
16,204.69014121570507,17.077,2,2011
17,-27.762675947686382,119.425,2,2015
18,23.132310918116097,75.849,2,2016
19,437.45456184359904,71.566,2,2017
20,114.40732792546792,34.97,2,2018
