,pc1
0,83.89252488791934
1,493.6910880645248
2,-136.02911590621324
3,199.18263802840625
4,262.83150287094224
5,367.75482344730744
6,-58.043547237015574
7,-238.12338895308574
8,169.30303378001213
9,-317.94251460816923
10,-40.229952170854624
11,237.26596911057882
12,82.17285635486341
13,195.77770547718472
14,-675.4681369620891
15,-330.3125443227899
16,-164.29602760467918
17,1.1605619308310757
18,-201.26730705275205
19,228.7015966871848
20,-160.02163494547804
21,88.12998284225601
22,143.2126862283082
23,182.54337642856802
24,113.4475799695804
25,-117.35704462143164
26,81.68439671137287
27,6.940143719504828
28,113.73551706386068
29,-36.25545415699722
30,63.41749449051854
31,-160.20628019895554
32,44.8940192065401
33,-281.9866216344409
34,111.397975336709
35,-112.74875021239396
36,-56.78116052472742
37,166.87675208305697
38,-25.70886417146032
39,-161.9949847815355
40,42.26699173575477
41,-205.51073484127062
