,years,data,hindcast
0,1980,41.59,40.055775859975064
1,1981,35.788,35.022465042918235
2,1982,35.431,47.40217431442082
3,1985,78.559,30.22316531835687
4,1986,64.688,43.46263146306269
5,1987,33.606,58.811359671882315
6,1988,27.742,35.66668031399057
7,1996,11.86,33.929909269388304
8,1998,131.575,119.39772478731695
9,1999,65.297,70.36105896472361
10,2001,95.436,55.093679567585674
11,2003,51.564,19.730695605743648
12,2004,45.281,40.247155524356984
13,2005,77.407,61.95767786478939
14,2006,51.755,51.81430870867921
15,2007,1.605,25.877979612794004
16,2009,23.97,43.42606476656654
17,2010,27.16,57.792485251505674
18,2011,17.259,34.676442576193814
19,2013,31.149,35.611856308233875
20,2021,51.776,59.93670920751577
21,1983,105.42,69.69271237059216
22,1984,21.79,53.54970451019438
23,1989,78.439,50.38733755522126
24,1990,64.463,40.13957625469207
25,1991,46.967,46.35638518890583
26,1992,57.617,67.17225667078
27,1993,50.114,54.11946491775581
28,1994,85.773,67.30072172453428
29,1995,42.515,47.66866003063641
30,1997,28.147,57.787752585629484
31,2000,76.353,67.14221304686927
32,2002,60.53,54.44894157776747
33,2008,37.054,49.171802389480376
34,2012,93.777,93.11555434831902
35,2014,52.13,52.2789611152009
36,2015,27.186,18.809699526773343
37,2016,67.439,73.50614256642407
38,2017,30.591,31.095000892954207
39,2018,102.506,77.99560011111508
40,2019,32.685,73.28566318329891
41,2020,24.385,40.856849432855775
