,pc1,target,phase_label,year_glvar
0,19.746406787296596,87.79,1,1980
1,-185.93040876405976,69.787,1,1981
2,136.3199165424737,40.005,1,1983
3,-383.2992581717101,54.762,1,1984
4,294.3997020596256,126.504,1,1985
5,-173.76509921005925,31.234,1,1988
6,-45.58811214678124,64.76,1,1995
7,-516.4072760403911,28.135,1,1996
8,72.59851582439197,112.482,1,1997
9,782.3534802448876,136.999,1,1998
10,107.40969568334967,86.734,1,1999
11,-281.2820667207476,56.749,1,2001
12,188.30464777625983,47.241,1,2003
13,-315.37081142948426,55.748,1,2005
14,-217.14969014067813,34.652,1,2006
15,-75.01540913788057,40.784,1,2008
16,-22.43174293967067,33.738,1,2010
17,-181.57158493411364,63.597,1,2013
18,118.17640975522109,106.981,1,2019
19,148.9197763152329,67.278,1,2020
20,529.5815266751365,106.484,1,2021
0,-40.9326961633086,93.726,2,1982
1,-276.99441411005876,56.932,2,1986
2,365.88611759051497,96.289,2,1987
3,-333.16591753077637,67.167,2,1989
4,99.89127528124745,81.754,2,1990
5,443.9968044621829,100.819,2,1991
6,-67.65279606915678,52.1,2,1992
7,-71.36347918450352,49.037,2,1993
8,-302.0558072312371,51.526,2,1994
9,261.840573079035,55.016,2,2000
10,-314.6693495658073,77.791,2,2002
11,96.67501658882212,70.647,2,2004
12,136.11728261225454,100.404,2,2007
13,-138.1780327126488,75.436,2,2009
14,-5.46838772765911,94.747,2,2011
15,424.1212535465147,122.004,2,2012
16,-157.26422510156405,53.205,2,2014
17,-80.98113592987305,35.568,2,2015
18,182.64720538914253,113.147,2,2016
19,133.76428544325432,63.719,2,2017
20,-356.2164569401976,26.89,2,2018
