,pc1,target,phase_label,year_glvar
0,-5.105672313650617,107.769,1,1980
1,0.9876144477380551,104.269,1,1982
2,7.808756624877274,95.183,1,1984
3,11.764619422898765,36.531,1,1985
4,1.591930057698578,94.807,1,1986
5,-14.59456229910341,102.308,1,1987
6,-6.9692912641739255,79.42,1,1988
7,-9.340291133539495,70.054,1,1990
8,7.034297066308085,48.361,1,1991
9,-19.29384295643277,81.025,1,1997
10,17.56497137043936,55.873,1,2004
11,0.6207211378061653,58.746,1,2005
12,3.5488140425804904,38.236,1,2007
13,12.04472034986501,74.388,1,2009
14,-5.388852810400056,69.306,1,2011
15,-10.731855278438427,131.109,1,2012
16,8.89198672170235,57.946,1,2016
17,19.55998334210891,34.768,1,2018
18,1.9684176426715485,119.963,1,2019
19,-4.138624317083377,137.807,1,2020
20,-17.82389728480788,138.243,1,2021
0,20.55650254749934,150.743,2,1981
1,-1.0249417542026131,59.157,2,1983
2,-10.950141586268591,78.906,2,1989
3,-20.40526432184104,99.88,2,1992
4,0.7107664157642257,80.441,2,1993
5,12.157469523744235,97.19,2,1994
6,-6.903287620559345,18.716,2,1995
7,10.597233356108504,73.76,2,1996
8,34.02703192220782,178.649,2,1998
9,-4.514047198536679,65.748,2,1999
10,5.247484516226401,130.409,2,2000
11,-1.299148013346961,73.237,2,2001
12,-1.7705025282373246,87.438,2,2002
13,-26.761778479399972,74.576,2,2003
14,4.038276657013274,104.882,2,2006
15,-20.306766670162023,92.717,2,2008
16,15.093778015501979,76.197,2,2010
17,12.264826295902566,135.237,2,2013
18,-12.051307048609477,79.961,2,2014
19,-8.550183465201151,34.891,2,2015
20,-0.15538108665896105,63.675,2,2017
