,years,data,hindcast
0,1980,107.769,91.95127212173117
1,1982,104.269,80.87706038485112
2,1984,95.183,68.480011679435
3,1985,36.531,61.29044979881988
4,1986,94.807,79.7787501817253
5,1987,102.308,109.19680494528673
6,1988,79.42,95.33829650826338
7,1990,70.054,99.64745765719398
8,1991,48.361,69.88754910038698
9,1997,81.025,117.73748767501763
10,2004,55.873,50.74863088714109
11,2005,58.746,81.54386868686258
12,2007,38.236,76.22222175269843
13,2009,74.388,60.78138185332675
14,2011,69.306,92.46593701500848
15,2012,131.109,102.17654853860675
16,2016,57.946,66.51130087986841
17,2018,34.768,47.12280695056271
18,2019,119.963,79.09450481537935
19,2020,137.807,90.19371586464298
20,2021,138.243,115.06594270319121
21,1981,150.743,119.2117269724737
22,1983,59.157,86.86418899524148
23,1989,78.906,71.98771576151755
24,1992,99.88,57.8158217264088
25,1993,80.441,89.46577048165604
26,1994,97.19,106.62276230867128
27,1995,18.716,78.05337849076173
28,1996,73.76,104.28418857929081
29,1998,178.649,139.40214863426402
30,1999,65.748,81.63451255239733
31,2000,130.409,96.26567038618299
32,2001,73.237,86.45319252729114
33,2002,87.438,85.74669865885465
34,2003,74.576,48.28830446482143
35,2006,104.882,94.45323853030486
36,2008,92.717,57.963455799634566
37,2010,76.197,111.02387416764509
38,2013,135.237,106.78367495269812
39,2014,79.961,70.33722420431073
40,2015,34.891,75.58491414081571
41,2017,63.675,88.16753766475836
