,pc1
0,-31.289162944565405
1,10.722849850707295
2,-15.89051584102901
3,31.26120317214647
4,19.13134869726207
5,2.2496033423419837
6,22.016826192910713
7,-2.0253862600468455
8,-29.752826502186913
9,-7.345658583750844
10,-26.908049979409565
11,6.655515856119894
12,-27.620705604253416
13,17.83514802482344
14,13.501773058620444
15,-22.419276140345666
16,-10.879112331764615
17,13.87151401238179
18,5.82104793061993
19,15.019999644969136
20,16.044524718215314
21,-0.566756788718135
22,1.274496778065479
23,-7.011735853770783
24,1.4156193763153961
25,2.5785937734744544
26,5.279997412404264
27,-1.2440782115824693
28,-4.25844058663597
29,-4.6596507438744625
30,-0.17123445599544873
31,-5.088879008539404
32,6.51867777003037
33,-3.8573711923760197
34,5.510611331790806
35,-1.4454517073874726
36,6.227291247552101
37,2.213121767925533
38,-7.458655404072593
39,1.3055319270998318
40,-0.19419329302129973
41,3.6336652309979387
