,years,data,hindcast
0,1980,42.647,49.66315464654297
1,1981,61.647,90.88181296017572
2,1982,59.112,63.2801143518682
3,1983,117.24,122.65332505211987
4,1987,66.991,97.35306510685962
5,1990,93.283,121.59412616933719
6,1991,69.854,78.43307814803472
7,1993,149.343,109.96059536747228
8,1994,147.073,96.89732024633136
9,1998,154.753,110.03701193236483
10,2001,144.184,121.6803538597318
11,2003,46.909,58.34168105156844
12,2004,68.272,95.08734080537623
13,2009,40.197,39.96689497102409
14,2012,79.252,96.05821252201125
15,2013,81.322,81.04858044431515
16,2015,98.359,61.390251967711265
17,2016,28.704,27.073111667786627
18,2017,131.717,101.43112144815834
19,2019,112.171,125.78648906865496
20,2020,61.863,106.27535821255515
21,1984,147.559,85.75370145627585
22,1985,48.916,79.5459071613865
23,1986,48.164,62.8166646886831
24,1988,99.143,104.19857933451246
25,1989,52.76,75.7824544982208
26,1992,66.034,64.51584914849441
27,1995,112.688,74.35331033482876
28,1996,48.278,73.91416483815345
29,1997,29.832,14.126238792218082
30,1999,83.683,85.98967214764089
31,2000,85.15,76.5931859308537
32,2002,57.527,50.006497506292604
33,2005,79.997,59.900180741860595
34,2006,31.076,55.94428219310778
35,2007,74.653,81.66920171034528
36,2008,79.746,60.23888809182219
37,2010,93.053,88.72583832354923
38,2011,68.379,68.69538173945273
39,2014,25.215,49.011716633431334
40,2018,68.288,57.06967467455741
41,2021,33.612,64.90161005431271
