,years,data,hindcast
0,1981,93.396,63.88821892121911
1,1982,43.574,45.95772717801167
2,1984,127.765,95.33567493009411
3,1987,40.212,83.60253880370294
4,1989,24.55,50.091152208681265
5,1990,62.735,49.9660978164161
6,1992,40.056,73.46355123113445
7,1993,79.516,58.7622183362345
8,1995,129.885,102.53084706789845
9,1996,16.128,49.07333424989599
10,1998,88.083,112.09832003994578
11,1999,91.58,72.08065888490233
12,2000,47.352,28.962209897063815
13,2002,67.263,63.521813593745385
14,2004,107.224,90.34092005927752
15,2005,53.984,67.79300489026278
16,2008,98.91,86.28536423918798
17,2009,59.608,62.10690645500536
18,2014,90.505,78.06676127726814
19,2017,56.353,89.19445976768881
20,2018,94.423,89.9802201523636
21,1980,58.656,68.32589336661044
22,1983,104.552,78.81434535770514
23,1985,62.145,95.34269031867242
24,1986,118.281,98.19708462428252
25,1988,138.661,87.5375709501424
26,1991,65.731,93.49097423325118
27,1994,85.403,85.83168818805228
28,1997,8.558,55.81291600940099
29,2001,85.522,76.50289830436905
30,2003,73.574,96.3957462737262
31,2006,18.287,36.496194452142824
32,2007,116.525,96.62023796107798
33,2010,49.822,57.10959784851083
34,2011,71.904,50.44591947170457
35,2012,90.297,92.35894951911976
36,2013,56.091,65.59734136610682
37,2015,107.204,86.27427186332552
38,2016,107.938,119.4922639302929
39,2019,48.71,72.50839530778148
40,2020,60.422,55.063845936761595
41,2021,90.618,50.682174716963104
