,pc1
0,-105.79312466221158
1,-78.91999702210951
2,-211.84155636125038
3,-120.30137498936386
4,-160.85480381720907
5,-339.35603388669665
6,109.2908672100514
7,268.88386713300247
8,-41.06787154611304
9,203.51295188014916
10,45.5055678876999
11,55.239683469096924
12,-265.4131665461566
13,61.89105765753698
14,138.06090498343303
15,-20.633860283858855
16,132.1262976740433
17,202.04336954135817
18,-115.10802654826526
19,67.75497180111999
20,174.98248919894104
21,68.969264587426
22,46.98739160480859
23,14.210105582693815
24,419.9527967045106
25,3.5860699126804527
26,158.40723943787523
27,-219.60802607380336
28,-422.18122315584463
29,-53.612503959621414
30,150.3969842497509
31,39.96218085106231
32,-353.8885536623124
33,258.46284463641604
34,140.38775030667898
35,337.93576716794905
36,-131.24999862196185
37,20.016665070589983
38,219.89759342316083
39,57.86241179498326
40,-436.20371393374506
41,-320.287173763205
