,pc1,target,phase_label,year_glvar
0,401.31489566535885,102.754,1,1981
1,-226.17714735636997,53.242,1,1982
2,-503.8181372731682,35.434,1,1990
3,269.9308703509427,94.81,1,1995
4,-163.57680377157575,78.281,1,1997
5,459.9757505469022,63.864,1,1999
6,-43.65994676681666,97.272,1,2000
7,123.5754863248461,47.375,1,2001
8,-331.01915233457316,64.664,1,2002
9,461.57118940584144,97.35,1,2006
10,258.7109205886942,116.553,1,2007
11,-165.49655108168713,58.692,1,2008
12,71.15601814686272,51.13,1,2009
13,-318.1449661253843,34.522,1,2011
14,-14.049908392182598,68.418,1,2012
15,429.81786051563637,89.413,1,2013
16,-129.9441516491388,61.485,1,2015
17,-142.72189318380018,61.366,1,2016
18,-145.83472573249475,37.424,1,2017
19,-340.25234825336184,17.802,1,2020
20,48.63608893331742,118.604,1,2021
0,129.30187080626277,23.55,2,1980
1,380.99750761140865,118.897,2,1983
2,260.5121878449258,106.87,2,1984
3,-91.14053779835172,63.013,2,1985
4,-101.20829879427644,49.026,2,1986
5,-2.547976329022038,69.35,2,1987
6,-2.2462742946234613,71.891,2,1988
7,-260.02861752590405,14.875,2,1989
8,-66.58444261345056,35.415,2,1991
9,-64.58212819830052,48.605,2,1992
10,102.88527047344373,72.616,2,1993
11,-164.20898977900777,59.619,2,1994
12,36.038679997790425,57.327,2,1996
13,272.9675379088891,44.951,2,1998
14,53.988659947977496,85.303,2,2003
15,-193.26583692694368,37.014,2,2004
16,15.46569844236894,76.444,2,2005
17,181.85148389690573,63.402,2,2010
18,-20.025632630132545,111.149,2,2014
19,-264.25963177649925,48.213,2,2018
20,-203.9134039007822,39.454,2,2019
