,1,2,3,4,5,6,7,8,9,10,11,12
MER,1177.0702420044674,766.9865419729415,899.0969222459382,808.9226560574386,828.7875681964254,995.3085418614771,1665.2013581056945,1709.3363092317543,1528.3898561869476,1358.537037015224,788.6934057309203,1015.418853158023
MSSHF,950.0487869231421,883.7746774943104,838.2174744108704,841.0012522954332,866.8667948300803,909.521060586891,1601.992605659259,1693.698259500945,1400.2517320143884,1433.0622005438981,756.5688215393352,866.1161067095421
RH,1047.5199196053256,874.2808065281754,940.4912950162807,864.7367002662331,915.5730120115134,957.7305771155949,1707.2335357103718,1479.781212223978,1501.7740731223582,1269.6875590948464,741.7906321207763,1009.324825859801
SD,1068.9598772349286,1065.2995875233346,885.2730547731733,1174.5440590704368,909.0614369496512,48109.829447141674,1561.9625711853244,1617.4440055107323,1342.343568121929,1226.5244187819599,834.8975844965479,967.9882775377976
SH,876.2193549464771,807.815208365084,883.8292138571338,880.2923103937845,826.6390694070845,929.0350704619215,1531.638372937965,1735.947636340776,1565.118067159787,1174.5861452798472,777.6335941435209,764.5947174035982
t2m,988.2380365944779,920.092485428073,852.1739080942891,851.8664516384197,837.7143030697719,993.6682013939359,1731.426749553714,1724.9048723217632,1669.5916923817858,1373.8450349787151,764.2441080663071,773.8664342550389
TCC,1105.519657841888,867.6901529131944,948.3455240698003,889.4010886647392,910.5687836208041,911.8302407593562,1523.890193287259,1648.5148044001828,1499.5881461173126,1239.9029253450744,728.4536837359045,1007.379257580946
TCWV,936.9900604772083,888.1512507186434,891.1704668301321,878.2876087288387,833.8130654830367,889.6666176325704,1740.6872155494825,1763.6667590504378,1411.497762314694,1375.268761497975,780.9283133636101,738.2279697657715
tp,960.2008047751818,894.5105180832768,843.009698534147,852.4715069609057,843.7405072788,929.7769152105697,1703.4508640859033,1327.2202518249053,1424.642660172265,1260.5241044353595,722.880286952534,1043.1879997039919
UW,939.088965534842,885.7252299662954,845.5804599479641,864.4626732569618,887.7136280063654,898.0782070923302,1571.9244854394262,1748.4746282987028,1422.9971162473296,1155.344680357343,790.6131195021534,1108.9040429294864
VW,957.5568659704825,942.2893386575333,876.700123541444,887.3901145849605,899.5102354920831,969.1915250114445,1616.5427133723867,1705.4948817558247,1577.325475743047,1307.3900258248127,829.5462443252429,997.5638191995505
MER-MSSHF,1434.5034384493135,2286.3279937030097,3136.8817304880545,1290.8048404088759,1165.4301984807355,1563.4822644072376,2010.8235490527316,3208.5183985468834,2400.312166773156,3844.5797238448763,1130.589164272241,1009.2857940503118
MER-RH,1684.9314571807215,1475.0900201218303,3640.0614703958972,1035.8462936935189,1193.8041528279196,1773.6589819802941,2499.386732108828,1802.929642595044,2148.6610795908236,2280.9668304721863,986.9397872848976,1251.5534736976385
MER-SD,1612.5644815719436,1682.6483731531112,2523.1933450672695,4805.041961971479,1606.3334822965096,10808.365941956647,1665.2013566845349,1709.3363136250728,1528.3898257871015,1359.4152847291587,12574.399985783346,2148.5480209511793
