,1,2,3,4,5,6,7,8,9,10,11,12
MER,1177.070257942842,766.9865456660427,899.0969224938774,808.9226560853041,828.7875567678863,995.3085739022785,1665.2013561221702,1709.3363078384455,1528.3898523757011,1359.4152676163174,788.6934119658945,1015.418862895716
MSSHF,950.0487768516525,883.7746858576393,838.217489534178,846.9480885070648,866.8667928874538,909.5210659699447,1602.002670070397,1693.6982414921752,1400.251730288162,1433.0621932838642,756.5688059276025,866.1161046187768
RH,1047.5199236171513,874.2808052640745,940.4912843788004,864.736709725504,915.5730202010177,957.7642377418631,1707.2335406950044,1479.7811746929888,1501.7740646172522,1269.687562884888,741.790615934539,1009.3248233670247
SD,1068.9598754501837,1065.299602582437,886.7411824613733,1174.5447013976748,909.0612113814948,48111.789243347004,1561.9625711853241,1617.4440055107323,1342.343568121929,1226.5244187819599,834.8974974728842,967.9889391360766
SH,897.9780098785492,807.8152064713464,883.8292132665595,880.2923099671818,826.6390743788543,929.0350633526498,1531.6383768123528,1735.9476407568213,1565.1180783034292,1174.5861400937297,777.6335911387005,764.5947371268369
t2m,988.2380279085734,920.0924880682257,852.1738995740624,851.8664467938906,837.7143032295849,993.6683067503017,1731.4267466634078,1724.9048675179583,1669.5916782298252,1373.8450332087184,764.2441118123006,773.8664304519011
TCC,1105.5196648921876,867.6901436674121,948.3455248969889,889.4010823628532,910.5687913228378,911.8302356904502,1523.8901760118185,1648.5146545023308,1499.5881561657866,1239.9029308056015,728.4536877253222,1013.3483396790785
TCWV,936.9900471784227,888.1512553623727,891.1704662795233,878.2876191620581,833.8130680191382,889.6802231822085,1740.6878349745482,1763.6667543518083,1409.6686149829466,1375.2687617793586,780.9283082823233,738.227955791895
tp,960.2007906079191,894.5105207567857,843.0096962456404,852.4715079902338,843.7405049388726,929.776914427096,1703.4508618376076,1327.2205058868342,1424.6426717165068,1260.5241096938644,722.880290636028,1043.187997986918
UW,939.0889110948748,885.7252354238886,845.5804633901823,864.4626739897752,887.7136287286831,898.0782033698547,1571.9244971895089,1748.4746287661685,1422.9970944372585,1155.3446860055524,790.6131150913756,1108.90404265001
VW,957.5569283645766,942.2893760559855,876.700142700234,887.3901150398821,899.953105430514,969.1872672726541,1616.5426075848836,1705.4948779936708,1577.3254721214028,1307.390114546617,829.5462477011175,997.563816390868
MER-MSSHF,1697.6184434146105,5614.565864193737,1044.401602855865,1637.8304056005309,1229.050555542603,1141.6592132546866,3398.7641116667446,3042.8322549903987,1924.6179308851986,1853.7977908679775,1197.1945844027825,1101.6555264658473
MER-RH,4624.527669219549,2099.0836514959433,1293.0393204355785,1424.044516773827,1229.5863141703408,1841.9774520452333,3149.0858873521524,2710.0567505456306,2903.3165135345184,2927.968312488959,1084.9936592164017,1231.5431831218932
MER-SD,1415.8110692209573,3957.852471699666,4735.407597519836,492657.192717171,1220.6384034346047,123896.11211722213,1665.2013606864475,1709.336311563969,1528.3898526212422,1359.415280495428,1226.429426042052,7732.907987593171
MER-SH,1539.4162391085438,2389.0015851668763,1184.0071057521607,2255.064354132009,1167.808592755036,1666.6899449245398,3182.2484117185327,2261.3159194433147,14253.077175969924,11384.550610954731,973.4736214875395,1010.7725096064714
MER-t2m,1112.3550847700383,4471.116906688486,1911.936436806228,1261.7915746760057,1479.4030693459858,2125.030519471363,5645.856290593759,2529.8940061258045,2151.8104087684196,2293.684960510664,786.0084233142505,1172.9141870574872
MER-TCC,1406.227510850496,2350.6647676754233,1753.1333149636741,1738.6680393176127,1202.2239608905045,4335.127764977757,2036.9651651922698,2461.913534727014,2334.125218348085,2093.390068995818,932.5798849738096,1416.5038774799436
MER-TCWV,1498.728504904029,2213.8691093118236,1888.849747394742,1887.2920804888495,1936.6904658272601,1774.2713487697397,3111.555985476922,6068.394476716261,2208.182313913305,1200.3984468112421,1296.3315337592405,1115.1909273970257
